,Id,Period,Time,Type,Goal,Assist,Season
3,239917,2. část,11:09,-,81 Jakub Horyna,17 Martin Fojtík,2018/2019
4,239917,2. část,11:26,-,17 Martin Fojtík,1 Michael Kunc,2018/2019
5,239917,2. část,11:53,-,99 Petr Zahradník,23 Martin Bosák,2018/2019
6,239917,3. část,02:00,-,23 Martin Bosák,,2018/2019
7,239917,3. část,07:03,SH,17 Martin Fojtík,81 Jakub Horyna,2018/2019
8,239917,3. část,09:53,-,28 Libor Hrach,81 Jakub Horyna,2018/2019
0,239912,1. část,09:19,PP,17 Martin Fojtík,3 Aleš Martínek,2018/2019
1,239912,2. část,07:01,-,28 Libor Hrach,17 Martin Fojtík,2018/2019
2,239912,2. část,11:57,-,28 Libor Hrach,81 Jakub Horyna,2018/2019
3,239912,3. část,02:33,-,81 Jakub Horyna,17 Martin Fojtík,2018/2019
4,239912,3. část,08:06,PP,17 Martin Fojtík,81 Jakub Horyna,2018/2019
0,242544,1. část,06:18,-,15 Jan Jiráň,42 Jan Novák,2018/2019
1,242544,2. část,11:04,PS,3 Aleš Martínek,,2018/2019
2,242544,3. část,05:06,PP,23 Martin Bosák,3 Aleš Martínek,2018/2019
0,242540,1. část,06:57,-,28 Libor Hrach,,2018/2019
1,242540,2. část,04:40,-,28 Libor Hrach,15 Jan Jiráň,2018/2019
2,242540,3. část,11:52,-,3 Aleš Martínek,,2018/2019
0,244641,1. část,08:21,-,92 Jakub Vilim,17 Martin Fojtík,2018/2019
1,244641,1. část,08:39,-,99 Petr Zahradník,23 Martin Bosák,2018/2019
2,244641,2. část,00:44,-,17 Martin Fojtík,,2018/2019
3,244641,2. část,08:14,-,81 Jakub Horyna,92 Jakub Vilim,2018/2019
4,244641,2. část,10:07,-,81 Jakub Horyna,15 Jan Jiráň,2018/2019
5,244641,2. část,10:28,-,23 Martin Bosák,99 Petr Zahradník,2018/2019
6,244641,2. část,10:43,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
7,244641,3. část,03:36,-,3 Aleš Martínek,23 Martin Bosák,2018/2019
8,244641,3. část,04:07,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
9,244641,3. část,11:38,PP,17 Martin Fojtík,92 Jakub Vilim,2018/2019
0,244484,1. část,00:58,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
1,244484,1. část,02:47,-,17 Martin Fojtík,,2018/2019
2,244484,1. část,03:18,-,23 Martin Bosák,3 Aleš Martínek,2018/2019
3,244484,1. část,04:51,-,3 Aleš Martínek,23 Martin Bosák,2018/2019
4,244484,1. část,05:50,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
5,244484,1. část,07:04,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
6,244484,1. část,09:12,-,92 Jakub Vilim,15 Jan Jiráň,2018/2019
7,244484,1. část,09:27,-,17 Martin Fojtík,15 Jan Jiráň,2018/2019
8,244484,2. část,06:46,-,81 Jakub Horyna,17 Martin Fojtík,2018/2019
9,244484,2. část,09:26,PP,17 Martin Fojtík,81 Jakub Horyna,2018/2019
10,244484,2. část,11:10,-,23 Martin Bosák,5 Lucie Kisugite,2018/2019
11,244484,3. část,05:20,-,81 Jakub Horyna,17 Martin Fojtík,2018/2019
12,244484,3. část,05:32,-,3 Aleš Martínek,,2018/2019
13,244484,3. část,10:14,-,17 Martin Fojtík,92 Jakub Vilim,2018/2019
0,245316,1. část,02:57,-,81 Jakub Horyna,5 Lucie Kisugite,2018/2019
1,245316,1. část,05:23,SH,17 Martin Fojtík,23 Martin Bosák,2018/2019
2,245316,1. část,07:33,-,17 Martin Fojtík,23 Martin Bosák,2018/2019
3,245316,2. část,05:18,-,17 Martin Fojtík,5 Lucie Kisugite,2018/2019
4,245316,2. část,06:58,-,5 Lucie Kisugite,81 Jakub Horyna,2018/2019
5,245316,3. část,00:30,PS,3 Aleš Martínek,,2018/2019
6,245316,3. část,01:12,-,92 Jakub Vilim,23 Martin Bosák,2018/2019
7,245316,3. část,01:48,-,17 Martin Fojtík,15 Jan Jiráň,2018/2019
8,245316,3. část,04:18,PP,81 Jakub Horyna,17 Martin Fojtík,2018/2019
9,245316,3. část,05:18,-,81 Jakub Horyna,99 Petr Zahradník,2018/2019
10,245316,3. část,05:51,-,81 Jakub Horyna,17 Martin Fojtík,2018/2019
11,245316,3. část,09:04,PP,81 Jakub Horyna,17 Martin Fojtík,2018/2019
12,245316,3. část,10:39,-,81 Jakub Horyna,5 Lucie Kisugite,2018/2019
0,247361,1. část,02:50,-,23 Martin Bosák,,2018/2019
1,247361,1. část,07:40,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
2,247361,1. část,08:52,-,5 Lucie Kisugite,81 Jakub Horyna,2018/2019
3,247361,1. část,10:44,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
4,247361,2. část,01:03,-,5 Lucie Kisugite,23 Martin Bosák,2018/2019
5,247361,2. část,03:01,-,99 Petr Zahradník,3 Aleš Martínek,2018/2019
6,247361,2. část,06:09,PP,3 Aleš Martínek,23 Martin Bosák,2018/2019
7,247361,3. část,00:08,-,17 Martin Fojtík,,2018/2019
8,247361,3. část,08:30,-,81 Jakub Horyna,17 Martin Fojtík,2018/2019
0,249569,1. část,04:04,-,17 Martin Fojtík,23 Martin Bosák,2018/2019
1,249569,1. část,08:56,-,81 Jakub Horyna,,2018/2019
2,249569,2. část,09:47,-,17 Martin Fojtík,,2018/2019
0,249565,1. část,00:56,-,5 Lucie Kisugite,81 Jakub Horyna,2018/2019
1,249565,1. část,05:30,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
2,249565,2. část,07:44,SH,17 Martin Fojtík,23 Martin Bosák,2018/2019
3,249565,2. část,10:17,-,23 Martin Bosák,6 Šimon Smrček,2018/2019
4,249565,2. část,11:14,-,17 Martin Fojtík,23 Martin Bosák,2018/2019
5,249565,3. část,06:23,-,81 Jakub Horyna,,2018/2019
0,222364,1. část,05:08,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
1,222364,1. část,07:14,-,81 Jakub Horyna,17 Martin Fojtík,2018/2019
2,222364,2. část,00:40,-,17 Martin Fojtík,81 Jakub Horyna,2018/2019
3,222364,2. část,10:03,SH,3 Aleš Martínek,17 Martin Fojtík,2018/2019
4,222364,3. část,00:11,-,81 Jakub Horyna,17 Martin Fojtík,2018/2019
5,222364,3. část,02:59,PP,3 Aleš Martínek,81 Jakub Horyna,2018/2019
6,222364,3. část,07:39,PP,3 Aleš Martínek,15 Jan Jiráň,2018/2019
7,222364,3. část,09:54,-,23 Martin Bosák,81 Jakub Horyna,2018/2019
0,251696,2. část,00:10,-,17 Martin Fojtík,23 Martin Bosák,2018/2019
1,251696,2. část,07:49,-,17 Martin Fojtík,5 Lucie Kisugite,2018/2019
2,251696,2. část,10:40,-,17 Martin Fojtík,6 Šimon Smrček,2018/2019
3,251696,3. část,03:08,-,6 Šimon Smrček,81 Jakub Horyna,2018/2019
4,251696,3. část,04:57,-,17 Martin Fojtík,6 Šimon Smrček,2018/2019
0,255299,1. část,09:07,PP,23 Martin Bosák,1 Viliam Virba,2019/2020
1,255299,2. část,01:33,-,11 Petr Sukalovský,23 Martin Bosák,2019/2020
2,255299,2. část,05:18,-,30 Tomáš Štumf,3 Aleš Martínek,2019/2020
3,255299,3. část,07:13,-,23 Martin Bosák,99 Petr Zahradník,2019/2020
4,255299,3. část,08:40,-,23 Martin Bosák,11 Petr Sukalovský,2019/2020
0,255295,1. část,09:12,-,15 Jan Jiráň,6 Šimon Smrček,2019/2020
1,255295,3. část,09:01,PS,3 Aleš Martínek,,2019/2020
2,255295,3. část,10:08,-,23 Martin Bosák,,2019/2020
0,257498,1. část,11:25,-,28 Libor Hrach,30 Tomáš Štumf,2019/2020
1,257498,2. část,02:24,-,91 Rudolf Rubáš,3 Aleš Martínek,2019/2020
2,257498,2. část,06:21,-,11 Petr Sukalovský,23 Martin Bosák,2019/2020
3,257498,2. část,09:56,-,30 Tomáš Štumf,23 Martin Bosák,2019/2020
0,257495,3. část,00:07,-,91 Rudolf Rubáš,23 Martin Bosák,2019/2020
1,257495,3. část,07:14,-,92 Jakub Vilim,22 Filip Gaberdén,2019/2020
2,257495,3. část,10:26,-,23 Martin Bosák,91 Rudolf Rubáš,2019/2020
3,257495,3. část,11:26,-,3 Aleš Martínek,91 Rudolf Rubáš,2019/2020
0,260191,1. část,00:38,-,23 Martin Bosák,,2019/2020
1,260191,1. část,03:12,-,3 Aleš Martínek,96 Rudolf Rubáš,2019/2020
2,260191,1. část,04:31,-,11 Petr Sukalovský,99 Petr Zahradník,2019/2020
3,260191,3. část,10:05,-,11 Petr Sukalovský,23 Martin Bosák,2019/2020
4,260191,3. část,11:25,-,11 Petr Sukalovský,23 Martin Bosák,2019/2020
0,260184,2. část,00:45,-,11 Petr Sukalovský,99 Petr Zahradník,2019/2020
1,260184,2. část,04:08,-,11 Petr Sukalovský,23 Martin Bosák,2019/2020
2,260184,2. část,04:18,-,96 Rudolf Rubáš,,2019/2020
3,260184,2. část,05:34,-,90 Matej Kolesár,23 Martin Bosák,2019/2020
4,260184,2. část,07:28,-,11 Petr Sukalovský,90 Matej Kolesár,2019/2020
5,260184,3. část,04:13,-,23 Martin Bosák,99 Petr Zahradník,2019/2020
6,260184,3. část,06:14,-,23 Martin Bosák,,2019/2020
0,261992,1. část,06:29,-,11 Petr Sukalovský,23 Martin Bosák,2019/2020
1,261992,2. část,03:35,-,11 Petr Sukalovský,23 Martin Bosák,2019/2020
2,261992,3. část,02:32,-,23 Martin Bosák,99 Petr Zahradník,2019/2020
0,266168,3. část,02:05,PP,99 Petr Zahradník,23 Martin Bosák,2019/2020
1,266168,3. část,04:06,PS,3 Aleš Martínek,,2019/2020
2,266168,3. část,04:46,-,11 Petr Sukalovský,15 Jan Jiráň,2019/2020
3,266168,3. část,11:16,WG,96 Rudolf Rubáš,11 Petr Sukalovský,2019/2020
0,266163,2. část,04:02,PP,3 Aleš Martínek,30 Tomáš Štumf,2019/2020
0,271018,1. část,09:08,-,30 Tomáš Štumf,91 David Hochman,2019/2020
1,271018,1. část,10:35,-,96 Rudolf Rubáš,6 Šimon Smrček,2019/2020
2,271018,3. část,06:39,-,23 Martin Bosák,99 Petr Zahradník,2019/2020
0,271013,2. část,10:56,-,22 Jaroslav Drahotínský,91 David Hochman,2019/2020
0,278196,1. část,09:51,-,96 Rudolf Rubáš,15 Jan Jiráň,2019/2020
1,278196,3. část,02:03,-,91 David Hochman,30 Tomáš Štumf,2019/2020
2,278196,3. část,08:46,-,11 Petr Sukalovský,30 Tomáš Štumf,2019/2020
0,278193,1. část,06:13,-,11 Petr Sukalovský,22 Jaroslav Drahotínský,2019/2020
1,278193,2. část,08:42,-,91 David Hochman,90 Matej Kolesár,2019/2020
2,278193,3. část,03:02,-,96 Rudolf Rubáš,1 Viliam Virba,2019/2020
0,284100,2. část,04:47,-,11 Petr Sukalovský,23 Martin Bosák,2020/2021
1,284100,2. část,10:25,SH,23 Martin Bosák,15 Jan Jiráň,2020/2021
0,284104,1. část,00:04,-,23 Martin Bosák,28 Marek Pukl,2020/2021
1,284104,1. část,00:12,-,23 Martin Bosák,11 Petr Sukalovský,2020/2021
2,284104,1. část,02:31,-,11 Petr Sukalovský,23 Martin Bosák,2020/2021
3,284104,1. část,06:15,-,11 Petr Sukalovský,23 Martin Bosák,2020/2021
4,284104,1. část,07:01,-,23 Martin Bosák,92 Petr Čermák,2020/2021
5,284104,1. část,08:26,-,11 Petr Sukalovský,28 Marek Pukl,2020/2021
0,286056,1. část,08:10,PP,28 Andrej Lipan,11 Petr Sukalovský,2020/2021
1,286056,2. část,00:49,-,3 Aleš Martínek,22 Jaroslav Drahotínský,2020/2021
2,286056,2. část,08:24,-,11 Petr Sukalovský,23 Martin Bosák,2020/2021
3,286056,3. část,02:23,PP,11 Petr Sukalovský,23 Martin Bosák,2020/2021
4,286056,3. část,04:48,SH,30 Josef Kostelecký,28 Andrej Lipan,2020/2021
0,286054,1. část,00:46,-,23 Martin Bosák,28 Marek Pukl,2020/2021
1,286054,3. část,07:32,-,11 Petr Sukalovský,12 Tomáš Štumf,2020/2021
0,290622,1. část,00:21,-,99 Petr Zahradník,92 Jakub Vilim,2021/2022
1,290622,2. část,01:43,PP,99 Petr Zahradník,92 Jakub Vilim,2021/2022
2,290622,2. část,01:59,-,91 Marek Pukl,12 Tomáš Štumf,2021/2022
3,290622,2. část,11:02,-,99 Petr Zahradník,92 Jakub Vilim,2021/2022
4,290622,3. část,08:52,-,96 Rudolf Rubáš,16 Andrej Lipan,2021/2022
5,290622,3. část,10:38,-,99 Petr Zahradník,,2021/2022
0,291306,1. část,02:39,-,28 Libor Hrach,16 Andrej Lipan,2021/2022
1,291306,2. část,08:09,-,11 Petr Sukalovský,96 Rudolf Rubáš,2021/2022
2,291306,2. část,11:27,-,12 Tomáš Štumf,92 Jakub Vilim,2021/2022
3,291306,3. část,02:36,-,96 Rudolf Rubáš,30 Šimon Smrček,2021/2022
0,294684,1. část,05:21,PP,91 Marek Pukl,42 Jan Novák,2021/2022
1,294684,1. část,06:36,PP,11 Petr Sukalovský,42 Jan Novák,2021/2022
2,294684,2. část,08:07,-,28 Libor Hrach,30 Andrej Lipan,2021/2022
3,294684,3. část,08:09,-,91 Marek Pukl,12 Tomáš Štumf,2021/2022
0,294688,1. část,01:12,-,28 Libor Hrach,,2021/2022
1,294688,1. část,02:32,-,12 Tomáš Štumf,91 Marek Pukl,2021/2022
2,294688,1. část,03:01,-,99 Petr Zahradník,23 Martin Bosák,2021/2022
3,294688,1. část,06:51,-,28 Libor Hrach,92 Jakub Vilim,2021/2022
4,294688,1. část,08:58,PP,23 Martin Bosák,99 Petr Zahradník,2021/2022
5,294688,2. část,08:29,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
6,294688,2. část,09:22,-,23 Martin Bosák,42 Jan Novák,2021/2022
7,294688,3. část,02:32,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
8,294688,3. část,07:41,-,96 Rudolf Rubáš,12 Tomáš Štumf,2021/2022
9,294688,3. část,09:54,-,30 Andrej Lipan,,2021/2022
10,294688,3. část,11:38,-,23 Martin Bosák,11 Petr Sukalovský,2021/2022
0,295536,1. část,03:31,-,11 Petr Sukalovský,3 Aleš Martínek,2021/2022
1,295536,1. část,05:08,-,91 Marek Pukl,6 Šimon Smrček,2021/2022
2,295536,2. část,11:16,-,92 Jakub Vilim,,2021/2022
0,293079,2. část,06:05,-,23 Martin Bosák,11 Petr Sukalovský,2021/2022
1,293079,2. část,11:45,PP,71 Josef Kostelecký,99 Petr Zahradník,2021/2022
2,293079,2. část,11:48,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
0,301969,2. část,09:23,-,9 Tomáš Virba,91 Marek Pukl,2021/2022
1,301969,3. část,00:36,-,23 Martin Bosák,99 Petr Zahradník,2021/2022
2,301969,3. část,05:24,-,23 Martin Bosák,92 Jakub Vilim,2021/2022
3,301969,3. část,06:35,-,11 Petr Sukalovský,99 Petr Zahradník,2021/2022
0,301973,1. část,07:47,-,9 Viliam Virba,,2021/2022
1,301973,3. část,08:36,-,23 Martin Bosák,71 Josef Kostelecký,2021/2022
0,305967,1. část,04:40,-,91 Marek Pukl,9 Tomáš Virba,2021/2022
1,305967,3. část,08:30,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
2,305967,3. část,11:24,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
0,305979,2. část,06:23,SH,11 Petr Sukalovský,23 Martin Bosák,2021/2022
1,305979,3. část,05:57,-,91 Marek Pukl,12 Tomáš Štumf,2021/2022
2,305979,-,-,PS,23 Martin Bosák,,2021/2022
0,308725,2. část,05:40,-,12 Tomáš Štumf,,2021/2022
1,308725,3. část,11:27,-,11 Petr Sukalovský,,2021/2022
0,308734,1. část,07:57,-,71 Josef Kostelecký,15 Jan Jiráň,2021/2022
1,308734,2. část,03:04,-,3 Aleš Martínek,7 Andrej Lipan,2021/2022
2,308734,3. část,02:05,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
3,308734,3. část,02:46,-,3 Aleš Martínek,,2021/2022
4,308734,3. část,05:55,-,99 Petr Zahradník,99 Petr Zahradník,2021/2022
5,308734,3. část,06:59,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
6,308734,3. část,09:01,-,28 Libor Hrach,7 Andrej Lipan,2021/2022
7,308734,3. část,10:00,-,23 Martin Bosák,11 Petr Sukalovský,2021/2022
8,308734,3. část,11:36,PS,11 Petr Sukalovský,,2021/2022
0,311143,1. část,01:37,-,91 Marek Pukl,12 Tomáš Štumf,2021/2022
1,311143,2. část,02:20,-,7 Andrej Lipan,71 Josef Kostelecký,2021/2022
2,311143,2. část,06:43,PP,15 Jan Jiráň,71 Josef Kostelecký,2021/2022
3,311143,2. část,11:53,-,71 Josef Kostelecký,,2021/2022
4,311143,3. část,01:20,-,97 Rudolf Rubáš,91 Marek Pukl,2021/2022
5,311143,3. část,05:07,-,3 Aleš Martínek,,2021/2022
6,311143,3. část,08:57,SH,11 Petr Sukalovský,23 Martin Bosák,2021/2022
0,311148,1. část,04:10,-,6 Šimon Smrček,,2021/2022
1,311148,1. část,08:05,-,99 Petr Zahradník,23 Martin Bosák,2021/2022
2,311148,2. část,03:11,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
3,311148,2. část,06:51,-,97 Rudolf Rubáš,91 Marek Pukl,2021/2022
4,311148,2. část,09:42,SH,23 Martin Bosák,71 Josef Kostelecký,2021/2022
5,311148,3. část,00:32,PP,3 Aleš Martínek,71 Josef Kostelecký,2021/2022
6,311148,3. část,06:46,-,11 Petr Sukalovský,15 Jan Jiráň,2021/2022
7,311148,3. část,11:55,-,11 Petr Sukalovský,6 Šimon Smrček,2021/2022
