,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,59987,3 Lukáš Malý,30,5,25,"83,33",36:00,2011/2012
0,59990,38 Petr Plašil,30,8,22,"73,33",36:00,2011/2012
1,59990,1 Jakub Kodym,0,0,0,0,00:00,2011/2012
0,61490,91 David Hradečný,30,2,28,"93,33",36:00,2011/2012
0,61483,9 Ondřej Slaba,30,5,25,"83,33",36:00,2011/2012
0,64575,99 Marek Fröhlich,30,3,27,"90,00",36:00,2012/2013
0,64573,23 Jana Taušová,30,4,26,"86,67",36:00,2012/2013
0,66191,73 Martin Švácha,30,7,23,"76,67",36:00,2012/2013
0,66193,1 Kamil Netušil,30,3,27,"90,00",36:00,2012/2013
0,67676,27 Tomáš Šimek,30,0,30,"100,00",36:00,2012/2013
0,67674,8 Pavel Soukup,30,2,28,"93,33",36:00,2012/2013
0,69444,73 Tomáš Neckář,30,5,25,"83,33",36:00,2012/2013
0,69442,36 Tomáš Jančovič,30,1,29,"96,67",36:00,2012/2013
0,69398,34 Šimon Kalík,30,3,27,"90,00",36:00,2012/2013
0,69401,80 Radek Minařík,30,3,27,"90,00",36:00,2012/2013
0,72096,23 Jana Taušová,30,3,27,"90,00",36:00,2012/2013
0,73820,73 Martin Švácha,30,4,26,"86,67",36:00,2012/2013
0,73818,99 Marek Fröhlich,30,3,27,"90,00",36:00,2012/2013
0,76508,1 Kamil Netušil,30,2,28,"93,33",36:00,2012/2013
0,76505,73 Daniel Mayer,30,1,29,"96,67",36:00,2012/2013
0,77841,86 Tomáš Jančovič,30,0,30,"100,00",36:00,2012/2013
0,77839,27 Tomáš Šimek,30,3,27,"90,00",36:00,2012/2013
0,79499,44 Milan Strachota,30,7,23,"76,67",36:00,2012/2013
0,79497,1 Michal Mošna,30,3,27,"90,00",36:00,2012/2013
0,80013,38 Jan Chuděj,0,1,-1,0,36:00,2012/2013
1,80013,34 Šimon Kalík,0,0,0,0,00:00,2012/2013
0,83399,15 Dominik Kameš,0,0,0,0,36:00,2013/2014
1,83399,1 Matěj Pužman,0,0,0,0,00:00,2013/2014
0,83412,8 David Vaňkát,0,2,-2,0,36:00,2013/2014
0,84452,99 Marek Fröhlich,0,3,-3,0,36:00,2013/2014
0,84460,1 David Pantlík,0,3,-3,0,36:00,2013/2014
0,87600,14 Lukáš Mach,0,2,-2,0,36:00,2013/2014
0,87604,1 Jan Dechet,0,2,-2,0,36:00,2013/2014
0,88227,1 Daniel Urban,16,3,13,"81,25",36:00,2013/2014
0,88234,13 Pavel Chlup,18,4,14,"77,78",24:00,2013/2014
1,88234,1 Filip Skála,5,0,5,"100,00",12:00,2013/2014
0,91900,8 David Vaňkát,0,2,-2,0,36:00,2013/2014
0,91905,14 Lukáš Mach,0,5,-5,0,36:00,2013/2014
0,95454,3 Daniel Dvorský,0,2,-2,0,36:00,2013/2014
1,95454,31 Bohumil Huml,0,0,0,0,00:00,2013/2014
0,95459,3 Zdeněk Mitrovský,0,4,-4,0,36:00,2013/2014
1,95459,2 Lukáš Malý,0,0,0,0,00:00,2013/2014
0,95507,1 Matěj Pužman,0,0,0,0,36:00,2013/2014
0,95526,13 Pavel Chlup,0,2,-2,0,36:00,2013/2014
0,98491,99 Marek Fröhlich,0,0,0,0,36:00,2013/2014
0,98495,31 Bohumil Huml,0,5,-5,0,36:00,2013/2014
0,101360,1 Daniel Urban,0,3,-3,0,36:00,2013/2014
0,101363,1 David Pantlík,0,5,-5,0,36:00,2013/2014
0,102043,24 Martin Novák,0,2,-2,0,36:00,2013/2014
0,102037,11 Zdeněk Mitrovský,0,5,-5,0,36:00,2013/2014
0,106305,36 Vojtěch Hlava,0,5,-5,0,36:00,2014/2015
0,106307,1 Daniel Urban,0,4,-4,0,36:00,2014/2015
0,107925,77 Roman Šimáček,0,0,0,0,36:00,2014/2015
0,107938,1 Daniel Urban,0,3,-3,0,36:00,2014/2015
0,109356,1 Lukáš Zbránek,0,0,0,0,36:00,2014/2015
0,109353,88 Lukáš Gavran,0,5,-5,0,36:00,2014/2015
0,111025,45 Petr Brož,0,2,-2,0,36:00,2014/2015
0,111027,28 Michal Košťál,0,5,-5,0,36:00,2014/2015
0,113887,36 Vojtěch Hlava,0,1,-1,0,36:00,2014/2015
1,113887,1 Jan Doskočil,0,0,0,0,00:00,2014/2015
0,113892,30 František Beneš,0,2,-2,0,36:00,2014/2015
0,115955,88 Lukáš Gavran,0,5,-5,0,36:00,2014/2015
0,116088,1 Lukáš Zbránek,0,2,-2,0,36:00,2014/2015
0,119728,30 František Beneš,0,0,0,0,36:00,2014/2015
0,119733,24 Peter Chalupianský,0,0,0,0,36:00,2014/2015
0,120429,25 Petr Brož,0,2,-2,0,36:00,2014/2015
0,120431,1 Miroslav Šteffl,0,1,-1,0,36:00,2014/2015
0,125857,80 Petr Brabač,0,2,-2,0,36:00,2014/2015
1,125857,28 Michal Košťál,0,0,0,0,00:00,2014/2015
0,125859,77 Roman Šimáček,0,3,-3,0,36:00,2014/2015
0,127351,1 Jakub Reimar,0,2,-2,0,36:00,2014/2015
0,127354,24 Peter Chalupianský,0,1,-1,0,36:00,2014/2015
0,130050,1 Jan Tomáš,0,2,-2,0,36:00,2015/2016
1,130050,35 Jan Klapuš,0,0,0,0,00:00,2015/2016
0,130052,39 Marek Halamíček,0,4,-4,0,36:00,2015/2016
0,132892,35 Zdeněk Lupínek,0,1,-1,0,36:00,2015/2016
1,132892,98 Jiří Jetleb,0,0,0,0,00:00,2015/2016
0,132901,35 Michal Novák,0,3,-3,0,36:00,2015/2016
0,134348,27 Kamil Vodička,0,4,-4,0,36:00,2015/2016
0,134351,28 Michal Košťál,0,3,-3,0,36:00,2015/2016
0,137002,1 Jakub Malý,0,2,-2,0,36:00,2015/2016
0,137005,31 Zdeněk Chamrád,0,0,0,0,36:00,2015/2016
0,144401,27 Kamil Vodička,0,1,-1,0,36:00,2015/2016
0,144406,39 Marek Halamíček,0,2,-2,0,36:00,2015/2016
0,145415,1 Matěj Moravanský,0,0,0,0,36:00,2015/2016
0,145420,1 Štěpán Bátěk,0,2,-2,0,36:00,2015/2016
0,150361,35 Zdeněk Lupínek,0,2,-2,0,36:00,2015/2016
1,150361,98 Jiří Jetleb,0,0,0,0,00:00,2015/2016
0,150367,1 Štěpán Bátěk,0,1,-1,0,36:00,2015/2016
0,151930,1 Jakub Záhora,0,2,-2,0,36:00,2015/2016
0,151965,35 Michal Novák,0,6,-6,0,36:00,2015/2016
0,154870,28 Michal Košťál,0,3,-3,0,36:00,2015/2016
0,154873,1 Matěj Moravanský,0,5,-5,0,36:00,2015/2016
0,158141,92 Tomáš Šebesta,0,3,-3,0,36:00,2016/2017
0,158158,38 Jan Chuděj,0,3,-3,0,36:00,2016/2017
0,160699,15 Vojtěch Hecl,0,2,-2,0,36:00,2016/2017
0,160702,96 Michal Voříšek,0,3,-3,0,36:00,2016/2017
1,160702,1 Robert Šimáček,0,0,0,0,00:00,2016/2017
0,165178,1 Josef Kopecký,0,3,-3,0,36:00,2016/2017
0,165181,1 Josef Šubrt,0,1,-1,0,36:00,2016/2017
0,167705,16 Ondřej Svoboda,0,3,-3,0,36:00,2016/2017
1,167705,49 Lukáš Bicek,0,0,0,0,00:00,2016/2017
0,167707,15 Vít Rosol,0,3,-3,0,36:00,2016/2017
0,170887,20 Jan Čebiš,0,3,-3,0,36:00,2016/2017
0,170890,1 Josef Kopecký,0,5,-5,0,36:00,2016/2017
0,173014,1 Robert Šimáček,0,2,-2,0,36:00,2016/2017
1,173014,20 Michal Voříšek,0,0,0,0,00:00,2016/2017
0,173022,38 Jan Chuděj,0,6,-6,0,36:00,2016/2017
0,177660,49 Lukáš Bicek,0,2,-2,0,36:00,2016/2017
0,177076,39 Pavel Hejna,0,2,-2,0,36:00,2016/2017
0,178883,1 Jindřich Buša,0,0,0,0,36:00,2016/2017
0,178896,3 Ondřej Puritscher,0,1,-1,0,36:00,2016/2017
0,181137,99 Michal Šnobl,0,6,-6,0,36:00,2016/2017
0,181141,20 Petr Kaša,0,1,-1,0,36:00,2016/2017
0,184420,39 Pavel Hejna,0,5,-5,0,36:00,2016/2017
0,184422,29 Miroslav Mynář,0,4,-4,0,36:00,2016/2017
1,184422,15 Vojtěch Hecl,0,0,0,0,00:00,2016/2017
0,188166,44 Martin Řepka,0,7,-7,0,36:00,2017/2018
0,188172,99 Ondřej Havelka,0,2,-2,0,36:00,2017/2018
0,189796,30 Jakub Machů,0,3,-3,0,36:00,2017/2018
0,189799,99 Dominik Hůla,0,2,-2,0,36:00,2017/2018
0,190317,1 Miroslav Šteffl,0,1,-1,0,36:00,2017/2018
0,190321,1 Patrik Mališ,0,4,-4,0,36:00,2017/2018
0,196450,44 Martin Řepka,0,2,-2,0,36:00,2017/2018
0,196944,1 Petr Rosička,0,3,-3,0,36:00,2017/2018
0,198727,69 Jakub Šotola,0,1,-1,0,36:00,2017/2018
0,198731,1 Miroslav Šteffl,0,4,-4,0,36:00,2017/2018
0,202148,36 Martin Mulenko,0,0,0,0,36:00,2017/2018
1,202148,34 Šimon Kalík,0,0,0,0,00:00,2017/2018
0,202161,1 Patrik Mališ,0,7,-7,0,36:00,2017/2018
0,207535,3 Vratislav Sejk,0,1,-1,0,36:00,2017/2018
0,207533,1 Lukáš Zbránek,0,2,-2,0,36:00,2017/2018
0,213224,69 Jakub Šotola,0,2,-2,0,36:00,2017/2018
0,213222,30 Jakub Machů,0,0,0,0,36:00,2017/2018
0,215894,3 Vratislav Sejk,0,2,-2,0,36:00,2017/2018
0,215892,36 Martin Mulenko,0,2,-2,0,36:00,2017/2018
0,217370,1 Nick Štíbr,0,0,0,0,12:00,2017/2018
1,217370,99 Dominik Hůla,0,0,0,0,24:00,2017/2018
0,217372,1 Tomáš Fryš,0,2,-2,0,36:00,2017/2018
0,222022,1 Ondřej Kábrt,0,4,-4,0,36:00,2018/2019
0,222084,35 Jakub Havrda,0,5,-5,0,36:00,2018/2019
0,225350,1 Jaroslav Buben,0,4,-4,0,36:00,2018/2019
0,225349,38 Jan Chuděj,0,5,-5,0,36:00,2018/2019
0,229025,1 Pavel Hejna,0,3,-3,0,36:00,2018/2019
0,229022,1 Zuzana Jedličková,0,4,-4,0,36:00,2018/2019
0,229429,99 Dominik Hůla,0,2,-2,0,36:00,2018/2019
0,232669,31 Jan Křemen,0,1,-1,0,36:00,2018/2019
0,235066,1 Pavel Hejna,0,3,-3,0,36:00,2018/2019
0,235062,2 Michal Vyčichl,0,4,-4,0,36:00,2018/2019
0,237796,1 Jakub Havrda,0,8,-8,0,36:00,2018/2019
0,237794,1 Jaroslav Buben,0,4,-4,0,36:00,2018/2019
0,241681,21 Jan Roháč,0,5,-5,0,36:00,2018/2019
1,241681,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,241679,99 Dominik Hůla,0,3,-3,0,36:00,2018/2019
1,241679,1 Ondřej Jelínek,0,0,0,0,00:00,2018/2019
0,244656,1 Zuzana Jedličková,0,3,-3,0,36:00,2018/2019
0,244654,95 Tomáš Kubata,0,7,-7,0,36:00,2018/2019
0,247475,1 Ondřej Kábrt,0,4,-4,0,36:00,2018/2019
0,247472,2 Michal Vyčichl,0,6,-6,0,36:00,2018/2019
0,233120,99 Jan Roháč,0,4,-4,0,00:00,2018/2019
1,233120,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,250976,1 Lukáš Marek,0,3,-3,0,00:00,2018/2019
0,255307,2 Michal Vyčichl,0,8,-8,0,36:00,2019/2020
0,257489,1 Marek Škeřík,0,3,-3,0,36:00,2019/2020
0,257484,1 Jan Gierczynski,0,4,-4,0,36:00,2019/2020
0,260191,1 Viliam Virba,0,2,-2,0,36:00,2019/2020
0,260187,35 Michal Myšík,0,2,-2,0,36:00,2019/2020
0,263242,45 Petr Brož,0,3,-3,0,36:00,2019/2020
0,263237,16 Ondřej Svoboda,0,1,-1,0,36:00,2019/2020
0,266162,72 Pavel Bartůněk,0,3,-3,0,36:00,2019/2020
0,266158,1 Radek Tišer,0,6,-6,0,36:00,2019/2020
0,271020,2 Michal Vyčichl,0,3,-3,0,36:00,2019/2020
0,278201,1 Jan Gierczynski,0,2,-2,0,36:00,2019/2020
0,278200,1 Marek Škeřík,0,1,-1,0,36:00,2019/2020
0,284054,1 Jan Merta,0,4,-4,0,36:00,2020/2021
0,284058,86 Oldřich Hlavička,0,0,0,0,36:00,2020/2021
0,287591,1 Jakub Havrda,0,3,-3,0,36:00,2020/2021
0,287905,1 Jan Selinger,0,4,-4,0,36:00,2020/2021
0,291144,73 Tomáš Neckář,0,3,-3,0,36:00,2021/2022
0,291700,1 Vladimír Richter,0,0,0,0,36:00,2021/2022
0,293466,37 Lukáš Sýkora,0,10,-10,0,36:00,2021/2022
0,297187,47 Pavel Dundr,0,1,-1,0,36:00,2021/2022
0,297199,1 Ondřej Kábrt,0,1,-1,0,36:00,2021/2022
0,300872,1 Vojtěch Nockin,0,4,-4,0,36:00,2021/2022
0,300871,1 Tomáš Macháček,0,1,-1,0,36:00,2021/2022
0,304844,99 Ondřej Pomahač,0,2,-2,0,36:00,2021/2022
0,304843,86 Oldřich Hlavička,0,2,-2,0,36:00,2021/2022
